time	map	reduce	shuffle	sort
0	0	0	0	0
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	2	0	0	0
12	2	0	0	0
13	2	0	0	0
14	2	0	0	0
15	2	0	0	0
16	2	0	0	0
17	2	0	0	0
18	2	0	0	0
19	2	0	0	0
20	2	0	0	0
21	2	0	0	0
22	2	0	0	0
23	2	0	0	0
24	2	0	0	0
25	2	0	0	0
26	2	0	0	0
27	2	0	0	0
28	2	0	0	0
29	2	0	0	0
30	2	0	0	0
31	2	0	0	0
32	2	0	0	0
33	2	0	0	0
34	2	0	0	0
35	2	0	0	0
36	2	0	0	0
37	2	0	0	0
38	2	0	0	0
39	2	0	0	0
40	2	0	0	0
41	2	0	0	0
42	2	0	0	0
43	2	0	0	0
44	2	0	0	0
45	2	0	0	0
46	2	0	0	0
47	2	0	0	0
48	2	0	0	0
49	2	0	0	0
50	2	0	0	0
51	2	0	0	0
52	1	0	0	0
53	1	0	0	0
54	1	0	0	0
55	1	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
